Item,Reference(s),Value,Quantity,Digi-Key PN,Mfg.,Mfg. PN
1,C101,10uF,1,1276-1804-1-ND,Samsung,CL31B106KAHNNNE
2,C102,1uF,1,1276-1838-1-ND,Samsung,CL31B105KCHNNNE
3,C103,10nF,1,,,
4,C201 C202 C203,0.1uF,3,,,
5,C301,68nF,1,,,
6,D101,ZENER,1,,,
7,D102 D103,GRN,2,,,
8,D104,RED,1,,,
9,D201 D301,DIODE,2,1N4148XTPMSCT-ND,Micro,1N4148X-TP
10,F101 F104,7A,2,732-11372-ND,Wurth Electronics,696103201002
11,F102 F103,1A,2,507-2046-2-ND,Bel Fuse,0679H1000-05
12,F105,10A,1,486-2503-ND,Schurter,0034.0911
13,J101 J104,CONN_01X06,2,277-2427-ND,Phoenix,1844252
14,J102 J103 J105 J106,CONN_01X02,4,277-6570-ND,Phoenix,1923869
15,J107 J108 J109 J110,MOUNTING_HOLE,4,,,
16,Q101,PNP,1,MMBTA92FSCT-ND,Fairchild,MMBTA92
17,Q102,AOB290L,1,785-1329-1-ND,Alpha & Omega,AOB290L
18,Q103,MOS_N,1,BSS123NCT-ND,Fairchild,BSS123
19,Q104,NOSTUFF,1,,,
20,R101 R102 R105 R107 R115,0,5,,,
21,R103,0.001,1,WSRA-.001CT-ND,Vishay Dale,WSR21L000FEA
22,R104 R301,10k,2,,,
23,R106 R110 R203 R302,1M,4,541-1.00MCCT-ND,Vishay Dale,CRCW08051M00FKEA
24,R108 R114 R118,R,3,,,
25,R109 R111 R112,NOSTUFF,3,,,
26,R113 R201,100k,2,541-1.00MCCT-ND,Vishay Dale,CRCW08051M00FKEA
27,R116,1k,1,,,
28,R202,2k,1,,,
29,R204,2.2k,1,,,
30,R303 R304,500k,2,,,
31,U101,LT3060,1,,,
32,U201,555,1,LMC555CMX/NOPBCT-ND,Texas Instruments,LMC555CMX/NOPB
33,U301,LM321,1,LM321MFX/NOPBCT-ND,Texas Instruments,LM321MFX/NOPB
