Item,Reference(s),References (Trunc.),Value,Quantity,Quantity (x4),DigiKey PN,Mfg.,Mfg. PN
1,C201 C203 C313 C314 C315 C317 C319,C201 C203 C313 ,0.1uF,7,35,490-8049-1-ND,Murata,GCM21BR71H104KA37K
2,C202,C202,3300pF,1,5,399-1153-1-ND,Kemet,C0805C332K5RACTU
3,C301 C302 C303 C304 C305 C306 C307 C308 C309 C310 C311 C312 C318 C323 C324,C301 C302 C303 ,1uF,15,75,490-1691-1-ND,Murata,GRM21BR71C105KA01L
4,C316,C316,470pF,1,5,478-1367-1-ND,AVX,08055C471KAT2A
5,C320 C321,C320 C321,10uF,2,10,490-5314-1-ND,Murata,GRM32ER7YA106KA12L
6,C322,C322,4.7uF,1,5,490-6480-1-ND,Murata,GRM21BR71A475KA73L
7,D101,D101,DIODE,1,5,VB30100S-E3/8WGICT-ND,Vishay,VB30100S-E3/8W
8,D201 D301 D303 D304 D306 D307,D201 D301 D303 ,DIODE,6,30,1N4148W-FDICT-ND,Diodes,1N4148W-7-F
9,D202 D206 D305,D202 D206 D305,16V,3,15,MMSZ5246B-FDICT-ND,Diodes,MMSZ5246B-7-F
10,D203 D204,D203 D204,5.6V,2,10,MMSZ5232BS-FDICT-ND,Diodes,MMSZ5232BS-7-F
11,D205 D207 D208 D209 D210 D308,D205 D207 D208 ,LED,6,30,754-1944-1-ND,Kingbright,APT3216LZGCK
12,D302,D302,45V,1,5,SMCJ45AFSCT-ND,ON Semi,SMCJ45A
13,D309,D309,6.8V,1,5,MMSZ5235B-FDICT-ND,Diodes,MMSZ5235B-7-F
14,J101,J101,CONN_01X11,1,5,277-1451-ND,Phoenix,1881545
15,J102 J103 P301 P302,J102 J103 P301 ,CONN_01X02,4,20,277-2416-ND,Phoenix,1844210
16,J104,J104,CONN_01X04,1,5,277-2419-ND,Phoenix,1844236
17,J105 J106 J107 J108,J105 J106 J107 ,MOUNTING_HOLE,4,20,,,
18,Q201,Q201,NPN,1,5,MMBTA92FSCT-ND,ON Semi,MMBTA92
19,Q202 Q204,Q202 Q204,MOSFET_N,2,10,BSS123NCT-ND,ON Semi,BSS123
20,Q203 Q304,Q203 Q304,MOSFET_P,2,10,ZXMP10A13FCT-ND,Diodes,ZXMP10A13FTA
21,Q301 Q302,Q301 Q302,AOB290L,2,10,785-1329-1-ND,Alpha & Omega,AOB290L
22,Q303 Q305,Q303 Q305,,2,10,568-6229-1-ND,NXP,
23,R101 R102 R103 R104 R105 R206 R207 R209 R210 R211 R212 R213 R214 R215 R319,R101 R102 R103 ,0,15,75,311-0.0ARCT-ND,Yageo,RC0805JR-070RL
24,R201 R202 R204 R205 R218 R220,R201 R202 R204 ,10k,6,30,541-10.0KCCT-ND,Vishay Dale,CRCW080510K0FKEA
25,R203,R203,5.6k,1,5,PT5.6KXCT-ND,Panasonic,ERJ-1TYJ562U
26,R208 R219 R223 R228 R317 R322 R323,R208 R219 R223 ,1M,7,35,541-1.00MCCT-ND,Vishay Dale,CRCW08051M00FKEA
27,R216 R217 R224 R225 R313 R315 R324 R326,R216 R217 R224 ,100,8,40,541-100CCT-ND,Vishay Dale,CRCW0805100RFKEA
28,R221 R316,R221 R316,499k,2,10,A110802CT-ND,TE Connectivity,6-2176094-0
29,R222,R222,11.3k,1,5,A110644CT-ND,TE Connectivity,2176093-9
30,R226 R227 R229 R231 R232 R318,R226 R227 R229 ,100k,6,30,541-100KCCT-ND,Vishay Dale,CRCW0805100KFKEA
31,R230,R230,Raddr,1,5,,,
32,R301 R302 R303 R304 R305 R306 R307 R308 R309 R310 R311 R312 R321,R301 R302 R303 ,1k,13,65,541-1.00KCCT-ND,Vishay Dale,CRCW08051K00FKEA
33,R314,R314,0.001,1,5,WSRA-.001CT-ND,Vishay Dale,WSR21L000FEA
34,R320,R320,200,1,5,541-200CCT-ND,Vishay Dale,CRCW0805200RFKEA
35,R325,R325,3.01k,1,5,541-3.01KCCT-ND,Vishay Dale,CRCW08053K01FKEA
36,R327,R327,698,1,5,541-698CCT-ND,Vishay Dale,CRCW0805698RFKEA
37,R328,R328,49.9k,1,5,541-49.9KCCT-ND,Vishay Dale,CRCW080549K9FKEA
38,SW201 SW301,SW201 SW301,SW_PUSH,2,10,EG4791-ND,E-Switch,KS-01Q-01
39,TH301 TH302,TH301 TH302,10k,2,10,480-3153-1-ND,Honeywell,480-3153-1-ND
40,U101,U101,bq76930,1,5,296-39722-5-ND,Texas Instruments,BQ7693000DBT
41,U201,U201,bq78350,1,5,296-44315-1-ND,Texas Instruments,BQ78350DBTR-R1
42,R230,R230,2.4M,1,5,541-2.40MCCT-ND,Vishay,CRCW08052M40FKEA
43,R230,R230,1.15M,1,5,541-1.15MCCT-ND,Vishay,CRCW08051M15FKEA
44,R230,R230,732k,1,5,541-732KCCT-ND,Vishay,CRCW0805732KFKEA
45,D308,D308,ORANGE,1,5,160-1434-1-ND,Lite-On,LTST-C190KFKT
