Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Supporting,
1,Unpolarized capacitor,C,C6 C7 C9 C12 C15 C16,100n,C_0603_HandSoldering,6,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM31CR60J107KE39L/490-13982-1-ND/6155812,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM31CR60J107KE39L/490-13982-1-ND/6155812,
2,Unpolarized capacitor,C,C1 C2,10n,C_0603_HandSoldering,2,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM31CR60J107KE39L/490-13982-1-ND/6155812,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM31CR60J107KE39L/490-13982-1-ND/6155812,
3,Unpolarized capacitor,C,C13 C14,10u,C_0805_HandSoldering,2,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106KE47D/490-12538-1-ND/5797528,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106KE47D/490-12538-1-ND/5797528,
4,Unpolarized capacitor,C,C8 C10,1u,C_0603_HandSoldering,2,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10A105KQ8NNNC/1276-1036-1-ND/3889122,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10A105KQ8NNNC/1276-1036-1-ND/3889122,
5,Unpolarized capacitor,C,C4 C5,22p,C_0603_HandSoldering,2,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10C220JB8NFNC/1276-2228-1-ND/3890314,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10C220JB8NFNC/1276-2228-1-ND/3890314,
6,Polarised capacitor,CP,C11,22u,C_0805_HandSoldering,1,https://www.digikey.com/product-detail/en/avx-corporation/F920J226MPA/478-8119-1-ND/4005716,https://www.digikey.com/product-detail/en/avx-corporation/F920J226MPA/478-8119-1-ND/4005716,
7,Unpolarized capacitor,C,C3,22u,C_0805_HandSoldering,1,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21A226KQCLRNC/1276-6687-1-ND/5961546,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21A226KQCLRNC/1276-6687-1-ND/5961546,
8,LED generic,LED,D1,D0_ACT,LED_0603,1,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,
9,LED generic,LED,D4,D1_ACT,LED_0603,1,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,
10,Diode,D,D11,D_RST,D_0603,1,https://www.digikey.com/product-detail/en/avx-corporation/SD0805S040S0R5/478-7802-1-ND/3749494,https://www.digikey.com/product-detail/en/avx-corporation/SD0805S040S0R5/478-7802-1-ND/3749494,
11,Diode,D,D9,D_VCOM,D_0603,1,https://www.digikey.com/product-detail/en/avx-corporation/SD0805S040S0R5/478-7802-1-ND/3749494,https://www.digikey.com/product-detail/en/avx-corporation/SD0805S040S0R5/478-7802-1-ND/3749494,
12,LED generic,LED,D5,LED0,LED_0603,1,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489893,
13,LED generic,LED,D6,LED1,LED_0603,1,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489894,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489894,
14,LED generic,LED,D7,LED2,LED_0603,1,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489895,https://www.digikey.com/product-detail/en/wurth-electronics-inc/150060BS75000/732-4966-1-ND/4489895,
