Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mfg. Part Num,Package,Mfg. Name,MP,Tolerance,Vendor Part Num,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer
1,"Unpolarized capacitor, small symbol",C_Small,C21,0.1u,C_0603,1,~,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C1 C3 C5 C7 C9 C11 C13 C15 C17 C901 C1000 C1002 C1003 C1005 C1108,0.1uF,C_0805_HandSoldering,15,~,,,,,,,,,,,,,,
3,Unpolarized capacitor,C,C18 C1102,0.1uF,SMD_pkg_0805,2,~,,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C31 C32 C33 C34 C35 C36,0.1uF,R_0402,6,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C502 C503 C507 C608 C751 C752 C753 C805 C806,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9,~,,,,,,,,,,,,,,
6,Unpolarized capacitor,C,C22 C23 C24,100uF,C_1206_HandSoldering,3,445-11739-1-ND,,,,,,,,,,,,,,
7,"Unpolarized capacitor, small symbol",C_Small,C1103,10n,SMD_pkg_0805,1,~,,,,,,,,,,,,,,
8,Unpolarized capacitor,C,C29,10nF,R_0402,1,,,,,,,,,,,,,,,
9,Unpolarized capacitor,C,C42,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,,,,,,,,,,,,,,
10,"Unpolarized capacitor, small symbol",C_Small,C1101,10u,SMD_pkg_0805,1,~,,,,,,,,,,,,,,
11,"Unpolarized capacitor, small symbol",C_Small,C25 C26,10u,SMD_pkg_1206,2,~,,,,,,,,,,,,,,
12,Unpolarized capacitor,C,C902 C905,10u,C_0805_HandSoldering,2,~,,,,,,,,,,,,,,
13,Unpolarized capacitor,C,C501 C504 C506 C609 C801 C808,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,~,,,,,,,,,,,,,,
14,"Unpolarized capacitor, small symbol",C_Small,C1110,1500p,C_0805_HandSoldering,1,~,,,,,,,,,,,,,,
15,Unpolarized capacitor,C,C908,150p,C_0805_HandSoldering,1,~,,,,,,,,,,,,,,
16,Unpolarized capacitor,C,C19 C20,15pF,SMD_pkg_0603,2,~,,,,,,,,,,,,,,
17,Unpolarized capacitor,C,C37 C602,18pF,R_0402,2,,,,,,,,,,,,,,,
18,"Unpolarized capacitor, small symbol",C_Small,C1107,18u,C_0805_HandSoldering,1,~,,,,,,,,,,,,,,
19,Unpolarized capacitor,C,C2 C4 C6 C8 C10 C12 C14 C16,1nF,C_0603_HandSoldering,8,~,,,,,,,,,,,,,,
20,Unpolarized capacitor,C,C900 C903 C904 C906 C907 C1001 C1004,1u,C_0805_HandSoldering,7,~,,,,,,,,,,,,,,
21,"Unpolarized capacitor, small symbol",C_Small,C28,1u,C_0402,1,~,,,,,,,,,,,,,,
22,Unpolarized capacitor,C,C505 C510 C741 C742 C743 C744 C746 C747 C748 C750,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10,~,,,,,,,,,,,,,,
23,Unpolarized capacitor,C,C802 C803 C804,2.2uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,~,,,,,,,,,,,,,,
24,"Unpolarized capacitor, small symbol",C_Small,C1109,22p,C_0805_HandSoldering,1,~,,,,,,,,,,,,,,
25,Unpolarized capacitor,C,C508 C509,22pF,SMD_pkg_0603,2,~,,,,,,,,,,,,,,
26,"Unpolarized capacitor, small symbol",C_Small,C1105 C1106,22u,C_0805_HandSoldering,2,~,,,,,,,,,,,,,,
