Item,Reference(s),Reference (truncated),Value,Quantity,Quantity (x2),DigiKey PN,Mfg.,Mfg. PN
1,C1001 C1002 C1003 C1101 C1102 C1103 C1201 C1202 C1203 C1301 C1302 C1303 C1401 C1402 C1403 C201 C202 C203 C301 C302 C801 C802 C803 C901 C902 C903,C1001 C1002 C1003 C1,2.2uF,26,52,445-4497-1-ND,TDK,C3225X7R2A225K230AB
2,C1004 C1104 C1204 C1304 C1404 C204 C303 C804 C904,C1004 C1104 C1204 C1,0.1uF,9,18,445-2521-2-ND,TDK,C3225X7R2A225K230AB
3,C1005 C1006 C1105 C1106 C1205 C1206 C1305 C1306 C1405 C1406 C205 C206 C805 C806 C905 C906,C1005 C1006 C1105 C1,4.7uF,16,32,490-6521-1-ND,Murata,C3225X7R2A225K230AB
4,C304,C304,47uF,1,2,445-8047-1-ND,TDK,C3216X5R1E476M160AC
5,C701 C703,C701 C703,C,2,4,,,
6,C702,C702,10uF,1,2,1276-6641-1-ND,Samsung,CL31B106MOHNNNE
7,D1001 D1101 D1201 D1301 D1401 D201 D301 D801 D901,D1001 D1101 D1201 D1,DIODESCH,9,18,SK310A-TPCT-ND,Micro,SK310A-TP
8,D1002 D1102 D1202 D1302 D1402 D202 D302 D403 D503 D603 D702 D802 D902,D1002 D1102 D1202 D1,GREEN,13,26,754-1944-1-ND,Kingbright,APT3216LZGCK
9,D1003 D1103 D1203 D1303 D1403 D203 D803 D903,D1003 D1103 D1203 D1,18V,8,16,1SMA5931BT3GOSCT-ND,ON Semi,1SMA5931BT3G
10,D1004 D1104 D1204 D1304 D1404 D204 D804 D904,D1004 D1104 D1204 D1,28V,8,16,SMBJ5362B-TPMSCT-ND,Micro,SMBJ5362B-TP
11,D303,D303,7.5V,1,2,SMBJ5343B-TPMSCT-ND,Micro,SMBJ5343B-TP
12,D401 D501 D601,D401 D501 D601,VB30100S-E3/8W,3,6,VB30100S-E3/8WGICT-ND,Vishay,VB30100S-E3/8W
13,D402 D502 D602,D402 D502 D602,25V,3,6,MMSZ5253BT1GOSCT-ND,ON Semi,MMSZ5253BT1G
14,D404 D504 D604,D404 D504 D604,60V,3,6,SMBJ5371B-TPMSCT-ND,Micro,SMBJ5371B-TP
15,D701,D701,RED,1,2,754-1940-1-ND,Kingbright,APT3216LSECK/J3-PRV
16,F401 F501 F601,F401 F501 F601,31.3804,3,6,486-1754-ND,Schurter,31.3804
17,J101 J102 J103 J106 J108 J109,J101 J102 J103 J106 ,CONN_01X04,6,12,277-2419-ND,Phoenix,1844236
18,J104 J105 J110 J111 J112 J113 J114 J115 J116 J117 J118 J119 J120 J121 J122 J123 J124 J125 J126 J127 J128 J129,J104 J105 J110 J111 ,CONN_01X02,22,44,277-2416-ND,Phoenix,1844210
19,J107,J107,CONN_01X06,1,2,277-2427-ND,Phoenix,1844252
20,J130 J131 J132 J133,J130 J131 J132 J133,MOUNTING_HOLE,4,8,,,
21,L1001 L1101 L1201 L1301 L1401 L201 L801 L901,L1001 L1101 L1201 L1,47uH,8,16,308-1339-1-ND,Sumida,CDRH127/LDNP-470MC
22,L301,L301,15uH,1,2,445-6479-1-ND,TDK,SLF10165T-150M3R13PF
23,R1001 R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R1101 R111 R112 R113 R114 R1201 R1301 R1401 R201 R301 R801 R901,R1001 R101 R102 R103,0,23,46,311-0.0ERCT-ND,Yageo,RC1206JR-070RL
24,R1002 R1102 R1202 R1302 R1402 R202 R302 R802 R902,R1002 R1102 R1202 R1,47.5k,9,18,P47.5KFCT-ND,Panasonic,ERJ-8ENF4752V
25,R1003 R1103 R1203 R1303 R1403 R203 R803 R903,R1003 R1103 R1203 R1,20k,8,16,541-20.0KFCT-ND,Vishay Dale,CRCW080545K3FKEA
26,R1004 R1104 R1204 R1304 R1404 R204 R804 R904,R1004 R1104 R1204 R1,400,8,16,P402FCT-ND,Panasonic,ERJ-8ENF4020V
27,R303,R303,12k,1,2,311-12.0KFRCT-ND,Yageo,RC1206FR-0712KL
28,R304 R705 R709,R304 R705 R709,300,3,6,P300ALCT-ND,Panasonic,ERJ-P08J301V
29,R401 R501 R601,R401 R501 R601,1.5k,3,6,P1.5KALCT-ND,Panasonic,ERJ-P08J152V
30,R701,R701,100k,1,2,311-100KFRCT-ND,Yageo,RC1206FR-07100KL
31,R702 R703,R702 R703,500k,2,4,311-499KFRCT-ND,Yageo,RC1206FR-07499KL
32,R704 R706,R704 R706,10k,2,4,311-10.0KFRCT-ND,Yageo,RC1206FR-0710KL
33,R707 R708,R707 R708,1M,2,4,311-1.00MFRCT-ND,Yageo,RC1206FR-071ML
34,SW701,SW701,GPTS203211B,1,2,CW181-ND,CW Industries,GPTS203211B
35,TP401 TP402 TP403 TP501 TP502 TP503 TP601 TP602 TP603,TP401 TP402 TP403 TP,Testpoint,9,18,36-5018CT-ND,Keystone,5018
36,U1001 U1101 U1201 U1301 U1401 U201 U301 U801 U901,U1001 U1101 U1201 U1,LMR16030S,9,18,296-44514-5-ND,Texas Instruments,LMR16030SDDA
37,U701,U701,UA78L05CPK,1,2,296-13531-1-ND,Texas Instruments,UA78L05CPK
38,U702,U702,TLV271IDBVR,1,2,296-13371-1-ND,Texas Instruments,TLV271IDBVR
39,U703,U703,LTC2950-1,1,2,LTC2950ITS8-1#TRMPBFCT-ND,Linear Technology,LTC2950ITS8-1#TRMPBF
40,U704,U704,TLC393,1,2,296-1329-1-ND,Texas Instruments,TLC393CDR
41,VR1001 VR1101 VR1201 VR1301 VR1401 VR201 VR801 VR901,VR1001 VR1101 VR1201,1M,8,16,3299W-105LF-ND,Bourns,3299W-1-105LF
42,VR301,VR301,100k,1,2,3299W-104LF-ND,Bourns,3299W-1-104LF
