Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey P/N,MFR P/N,
1,Resistor,Ferrite__BLM21_Murata,B301,Ferrite__BLM21_Murata,R_0805_HandSoldering,1,,490-1040-1-ND,BLM21AG601SN1D,
2,Unpolarized capacitor,C,C201 C202 C1311 C1312 C1313 C1314 C1315 C1406,0.1uF,C_0603_HandSoldering,8,,311-1088-1-ND,CC0603KRX7R7BB104,
3,Unpolarized capacitor,C,C301 C302 C407 C408 C707 C708 C807 C808 C907 C908 C1007 C1008 C1107 C1108 C1112 C1113,100nF,C_0805_HandSoldering,16,,490-12557-1-ND,GRM219R71C104JA01D,
4,Unpolarized capacitor,C,C1507,10nF,C_0603_HandSoldering,1,,311-3369-1-ND,CC0603KRX7R7BB103,
5,Unpolarized capacitor,C,C403 C703 C803 C903 C1003 C1103 C1105,10uF,C_0603_HandSoldering,7,,1276-1948-1-ND,CL10B106MQ8NRNC,
6,Unpolarized capacitor,C,C1501 C1502,10uf,R_0805_HandSoldering,2,,490-10516-1-ND,GRM21BR71A106KA73L,
7,Unpolarized capacitor,C,C406 C706 C806 C906 C1006 C1106 C1111,150pF,C_0603_HandSoldering,7,,732-7753-1-ND,885012006009,
8,Unpolarized capacitor,C,C401 C402 C404 C405 C601 C602 C603 C604 C701 C702 C704 C705 C801 C802 C804 C805 C901 C902 C904 C905 C1001 C1002 C1004 C1005 C1101 C1102 C1104 C1109 C1110 C1504,1uF,C_0603_HandSoldering,30,,1276-1946-1-ND,CL10B105KP8NNNC,
9,Unpolarized capacitor,C,C1508,2.2uF,C_0603_HandSoldering,1,,399-3522-1-ND,C0805C225K8RACTU,
10,Unpolarized capacitor,C,C204 C206,22pF,R_0603_HandSoldering,2,,478-6204-1-ND,478-6204-1-ND,
11,Unpolarized capacitor,C,C303,4.7uF,C_0805_HandSoldering,1,,"399-7415-1-ND
",C0805C475K4RACTU,
12,Unpolarized capacitor,C,C203,SAT,,1,,,,
13,Unpolarized capacitor,C,C205,SAT,R_0805_HandSoldering,1,,1276-1946-1-ND,CL10B105KP8NNNC,
14,,LED,D1501,AMBER_LED,LED_0805,1,,516-1431-1-ND,HSMA-C170,
15,,LED,D401,BLUE_LED,LED_0805,1,,160-1645-1-ND,LTST-C171TBKT,
16,,LED,D601 D602 D603 D604 D605 D607 D608 D1502 D1503 D1504,GREEN_LED,LED_0805,10,,475-1410-1-ND,LG R971-KN-1,
17,,LED,D302,RX_LED,D_0805,1,,L62507CT-ND,CMD17-21VYD/TR8,
18,,LED,D301,TX_LED,D_0805,1,,L62507CT-ND,CMD17-21VYD/TR8,
19,,FUSE,F301,FUSE,R_1812_HandSoldering,1,,MS-MSMF050-2CT-ND,MF-MSMF050-2,
20,"PDIP28 Narrow, 16k Flash, 1kB SRAM, 512B EEPROM",ATMEGA328-P,IC201,ATMEGA328-P,DIP-28_W7.62mm,1,http://www.atmel.com/images/atmel-8271-8-bit-avr-microcontroller-atmega48a-48pa-88a-88pa-168a-168pa-328-328p_datasheet.pdf,ATMEGA328P-PU-ND,ATMEGA328P-PU,
21,,JUMPER3,JP201 JP601 JP1501,JUMPER3,Wafer_Vertical10x5.8x7RM2.5-3,3,,732-5316-ND,61300311121,
22,,BeagleboneBlack_P8,P406,BeagleboneBlack_P8,header_2.54x2.54mm_spacing_pinName,1,,S7126-ND,PPPC232LFBN-RC,
23,,BeagleboneBlack_P9,P405,BeagleboneBlack_P9,header_2.54x2.54mm_spacing_pinName,1,,S7126-ND,PPPC232LFBN-RC,
24,"Connector, single row, 01x01",CONN_01X01,P1406,CONN_01X01,Pin_Header_Straight_1x01_Pitch2.54mm,1,,DNS,,
