Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey P/N,Mfg. Part Num,Vendor Part Num,Vendor Name,Mfg. Name,Vendor,Vendor P/N,MFG. P/N,Manufacturer,Package,MP,Stuffing,Tolerance,Manufacturer P/N,Mfr P/N
1,,C_small,C909 C1502 C1505 C1507 C1508 C1509 C1510 C1512 C1513 C1515 C1516,0.1uF,C_0805_HandSoldering,11,,,,,,,,,,,,,,,,
2,,C,C205 C219 C220 C221 C222 C223 C224 C1305 C1307 C1308 C1401 C1403 C1404 C1518 C1520 C1521 C1601 C1603 C1604 C1702 C1708 C1710 C1711 C1801 C1803 C1804 C2304 C2305 C2308 C2310,100nF,C_0805_HandSoldering,30,,311-1088-1-ND,,,,,,,,,,,,,,
3,,C_large,C405 C506,100nF,C_0805_HandSoldering,2,,,GMK212BJ104KGHT,587-3364-1-ND,Digi-Key,Taiyo Yuden,,,,,,,,,,
4,,C_small,C1503 C1506,100uF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
5,,C,C209 C210,10nF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
6,,C_large,C505,10pF,C_0805_HandSoldering,1,,,C0805C100K5GACTU,399-7975-1-ND,Digi-Key,Kemet,,,,,,,,,,
7,,C,C218 C2302 C2309,10uF,C_0805_HandSoldering,3,,,,,,,,,,,,,,,,
8,,C_small,C902,10uF,C_0805_HandSoldering,1,,,,,,,,,,,,,,,,
9,,C_large,C504,12nF,C_0805_HandSoldering,1,,,CL21B123KBANNNC,1276-2454-1-ND,Digi-Key,Samsung,,,,,,,,,,
10,,C_small,C905,150pF,C_0805_HandSoldering,1,,,,,,,,,,,,,,,,
11,,C,C2303 C2307,15pF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
12,,C_large,C602 C702,15pF,C_0805_HandSoldering,2,,,CC0805JRNPO9BN150,311-1101-1-ND,Digi-Key,Yageo,,,,,,,,,,
13,,C,C202 C203,18pF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
14,,C,C1201 C1306 C1402 C1519 C1602 C1707 C1709 C1802,1uF,C_0805_HandSoldering,8,,1276-1946-1-ND,,,,,,,,,,,,,,
15,,C_large,C508 C601 C603 C701 C703,1uF,C_0805_HandSoldering,5,,,GRT21BC81E105KE13L CC0805KRX5R7BB105,490-12351-1-ND 311-3427-1-ND,Digi-Key,Murata Yageo,,,,,,,,,,
16,,C_small,C901 C903 C904 C906 C907 C908,1uF,C_0805_HandSoldering,6,,,,,,,,,,,,,,,,
17,,C_large,C401,2.2uF,C_1206_HandSoldering,1,,,C3216X7S2A225K160AB,445-5207-1-ND,Digi-Key,TDK,,,,,,,,,,
18,,C_large,C501 C502,2.2uF,C_0805_HandSoldering,2,,,C2012X7R1H225K125AC,445-5968-1-ND,Digi-Key,TDK,,,,,,,,,,
19,,C_large,C404,2.4nF,C_0805_HandSoldering,1,,,GRM2165C1H242JA01D,490-1629-1-ND,Digi-Key,Murata,,,,,,,,,,
20,,C_large,C402 C503,2.7nF,C_0805_HandSoldering,2,,,CC0805KRX7R9BB272,311-1130-1-ND,Digi-Key,Yageo,,,,,,,,,,
21,,C,C2301 C2306,22pF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
22,,C_large,C406 C407,22uF,C_0805_HandSoldering,2,,,C2012X5R1V226M125AC,445-14428-1-ND,Digi-Key,TDK,,,,,,,,,,
23,,C,C2201,4.5nF,C_0805_HandSoldering,1,,,,,,,,,,,,,,,,
24,,C,C211,4.7uF,C_0805_HandSoldering,1,,,,,,,,,,,,,,,,
25,,C_large,C507,47uF,C_1206_HandSoldering,1,,,CL31A476MPHNNNE,1276-3063-1-ND,Digi-Key,Samsung,,,,,,,,,,
26,,C,C207 C208,6.8nF,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
27,,C_large,C403,82pF,C_0805_HandSoldering,1,,,CL21C820JB61PNC,1276-2695-1-ND,Digi-Key,Samsung,,,,,,,,,,
28,,C,C1001 C1002 C1003 C1004 C1101 C1102 C1301 C1302 C1303 C1304,C,C_0805_HandSoldering,10,,,,,,,,,,,,,,,,
29,,C_large,C604 C704,C,C_0805_HandSoldering,2,,,,,,,,,,,,,,,,
30,,D_Zener_ALT,D404,20V,D_SOD-323_HandSoldering,1,,,MM3Z20VT1G,MM3Z20VT1GOSCT-ND,,ON Semi,,,,,,,,,,
31,,D_Zener_ALT,D403,25V,D_SOD-123,1,,,MMSZ4710T1G,MMSZ4710T1GOSCT-ND,Digi-Key,ON Semi,,,,,,,,,,
32,,D_Zener_ALT,D702,3.6V,D_SOD-323_HandSoldering,1,,,MM3Z3V6T1G,MM3Z3V6T1GOSCT-ND,Digi-Key,ON Semi,,,,,,,,,,
33,,D_Zener_ALT,D503 D602,6V,D_SOD-123,2,,,MMSZ5233B-TP,MMSZ5233B-TPMSCT-ND,Digi-Key,Micro,,,,,,,,,,
34,,DIODESCH,D401,DIODESCH,D_SMC_Handsoldering,1,,,B560C-13-F,B560C-FDICT-ND,Digi-Key,Diodes,,,,,,,,,,
35,,DIODESCH,D501,DIODESCH,D_SMB_Handsoldering,1,,,B140B-13-F,B140B-FDICT-ND,Digi-Key,Diodes,,,,,,,,,,
36,,LED,D402 D502 D601 D701,GRN,LED_1206_HandSoldering,4,,,APT3216LZGCK,754-1944-1-ND,Digi-Key,Kingbright,,,,,,,,,,
37,,Fuse,F1101 F1102,Fuse,R_1206_HandSoldering,2,,,C1Q 250,507-1073-1-ND,,Bel Fuse,,,,,,,,,,
38,,Fuse,F1601,Fuse,R_1812_HandSoldering,1,,,MF-MSMF050-2CT-ND,MF-MSMF050-2,,Bourns,,,,,,,,,,
39,"Generic connector, single row, 01x02",Conn_01x02,J301 J1501 J1502 J1503 J1504 J1505 J1506 J1507 J1508,CONN_01X02,Molex_2pin_power_0010844022,9,,,,,,,DigiKey,WM1263-ND,0010844022,"Molex, LLC Molex LLC",,,,,,
40,"Generic connector, single row, 01x02",Conn_01x02,J302 J303,CONN_01X02,Pin_Header_Straight_1x02_Pitch2.54mm,2,,,,,,,DigiKey,S7000-ND,PPTC021LFBN-RC,Sullins Conn. Solutions,,,,,,
41,"Generic connector, single row, 01x04",Conn_01x04,J1509 J1510,CONN_01X04,Molex_4pin_power_10-84-4042,2,,,,,,,DigiKey,WM1265-ND,10-84-4042,Molex Connector Corporation,,,,,,
42,"Generic connector, single row, 01x03",Conn_01x03,J1001 J1002 J1003 J1004 J1101 J1102 J1201 J1202 J1203 J1204 J1205 J1206 J1900 J1901 J1902 J1903,Conn_01x03,TE_3_pos_header_640456-3,16,,,640456-3,A19470-ND,,TE Connectivity,,,,,,,,,,
43,"Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes.",Conn_02x01,J802 J803,Conn_02x01,Pin_Header_Straight_2x01_Pitch2.54mm,2,,,,,,,DigiKey,952-2262-ND,M20-9990246,Harwin Inc,,,,,,
44,"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x02_Odd_Even,J801,Conn_02x02_Odd_Even,Pin_Header_Straight_2x02_Pitch2.54mm,1,,,,,,,DigiKey,609-3242-ND,67997-404HLF,Amphenol FCI,,,,,,
45,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x03_Odd_Even,J1601,Conn_02x03_Odd_Even,Pin_Header_Straight_2x03_Pitch2.54mm,1,,,,,,,DigiKey,S9015E-03-ND,GRPB032VWVN-RC,Sullins Conn. Solutions,,,,,,
46,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x05_Odd_Even,J2201,Conn_02x05_Odd_Even,Pin_Header_Straight_2x05_Pitch1.27mm,1,,,,,,,DigiKey,609-3712-ND,20021111-00010T4LF,Amphenol FCI,,,,,,
47,,RB1-125BAG1A,J201,RB1-125BAG1A,WIZNET_RB1-125BAG1A,1,2.18 USD,,RB1-125BAG1A,,,WIZnet,,,,,HVQFN-36 NXP Semiconductors,RB1-125BAG1A,,,,
48,USB Micro Type B connector,USB_B_Micro,J1602,USB_B_Micro,USB_Micro-B_10103594-0001LF,1,,,609-4050-1-ND,10103594-0001LF,,Amphenol,,,,,,,,,,
49,,L_large,L401,33uH,Wurth_inductor_7443551331,1,,,7443551331,732-3881-1-ND,Digi-Key,Wurth Electronics,,,,,,,,,,
50,,L_large,L501,33uH,Bourns_33uH_inductor_SRR6028-330Y,1,,,SRR6028-330Y,SRR6028-330YCT-ND,Digi-Key,Bourns,,,,,,,,,,
51,,Ferrite_Bead_Small,L201 L202 L2301,Ferrite_Bead_Small,R_1206_HandSoldering,3,,,,,,,,,,,,,,,,
52,,L_small,L601 L701,INDUCTOR_SMALL,R_1206_HandSoldering,2,,,RC1206JR-070RL,311-0.0ERCT-ND,,Yageo,,,,,,,,,,
53,,R,R202 R1001 R1002 R1003 R1004 R1009 R1010 R1011 R1012 R1021 R1022 R1023 R1024 R1101 R1102 R1301 R1302 R1303 R1304 R1308 R1404 R1513 R1604 R1706 R1804 R2202 R2203 R2204 R2205 R2206 R2207 R2208 R2209 R2308 R2309 R2310 R2311 R2312 R2313 R2314 R2315 R2316 R2317 R2318 R2319 R2320 R2321 R2322 R2323 R2324 R2325 R2326 R2327 R2328,0,R_0805_HandSoldering,54,,,,,,,,,,,,,,,,
