Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD
1,32,1276-1946-1-ND,CAP CER 1UF 10V X7R 0603,C203 C303 C403 C503 C603 C703 C803 C903 C1003 C1,32,0,0.06,1.92
2,2,311-1356-1-ND,CAP CER 1UF 25V X7R 1206,C101 C103,2,0,0.28,0.56
3,2,754-1944-1-ND,LED GREEN CLEAR 1206 SMD,D101 D102,2,0,0.89,1.78
4,32,609-3242-ND,CONN HEADER 4POS .100 STR TIN,J101 J102 J103 J104 J105 J106 J107 J108 J109 J11,32,0,0.251,8.03
5,34,277-2416-ND,TERM BLOCK HDR 2POS 90DEG 3.5MM,P101 P103 P105 P106 P107 P108 P109 P110 P111 P11,34,0,1.187,40.36
6,2,ED10523-ND,CONN HEADER VERT 16POS GOLD,P102 P104,2,0,0.58,1.16
7,2,749-1062-1-ND,RES SMD 0.0 OHM 1/2W 1206 WIDE,R103 R106,2,0,0.59,1.18
8,32,311-1.00MHRCT-ND,RES SMD 1M OHM 1% 1/10W 0603,R201 R301 R401 R501 R601 R701 R801 R901 R1001 R1,32,0,0.023,0.74
9,2,408-1806-1-ND,RES SMD 1K OHM 1W 1206 WIDE,R102 R105,2,0,1.02,2.04
10,2,P300ALCT-ND,RES SMD 300 OHM 5% 2/3W 1206,R107 R108,2,0,0.25,0.5
11,2,408-1910-1-ND,RES SMD 3K OHM 0.5% 1W 1206,R101 R104,2,0,1.5,3
12,32,AD8497ARMZ-ND,IC THERMOCOUPLE A W/COMP 8MSOP,U201 U301 U401 U501 U601 U701 U801 U901 U1001 U1,32,0,9.5,304
13,2,296-16860-1-ND,IC OPAMP TRANSIMP 90MHZ 8VSSOP,U101 U102,2,0,8.56,17.12
14,32,SAM9042-ND,CONN SHUNT 4POS,,32,0,0.9944,31.82
15,100,311-1088-1-ND,CAP CER 0.1UF 16V X7R 0603,C201 C202 C204 C301 C302 C304 C401 C402 C404 C50,100,0,0.0138,1.38
16,100,311-150HRCT-ND,RES SMD 150 OHM 1% 1/10W 0603,R202 R203 R302 R303 R402 R403 R502 R503 R602 R60,100,0,0.0093,0.93
