Item,Reference(s),Value,Quantity,Digikey P/N,To Order
1,C1001 C1002 C1004 C1101 C1102 C1104 C1201 C1202 C1204 C1301 C1302 C1304 C1401 C1402 C1404 C1501 C1502 C1504 C1601 C1602 C1604 C1701 C1702 C1704 C1801 C1802 C1804 C1901 C1902 C1904 C2001 C2002 C2004 C201 C202 C204 C2101 C2102 C2104 C2201 C2202 C2204 C2301 C2302 C2304 C2401 C2402 C2404 C2501 C2502 C2504 C2601 C2602 C2604 C2701 C2702 C2704 C2801 C2802 C2804 C2901 C2902 C2904 C3001 C3002 C3004 C301 C302 C304 C3101 C3102 C3104 C3201 C3202 C3204 C3301 C3302 C3304 C401 C402 C404 C501 C502 C504 C601 C602 C604 C701 C702 C704 C801 C802 C804 C901 C902 C904,0.1uF,96,311-1088-1-ND,96
2,C1003 C101 C1103 C1203 C1303 C1403 C1503 C1603 C1703 C1803 C1903 C2003 C203 C2103 C2203 C2303 C2403 C2503 C2603 C2703 C2803 C2903 C3003 C303 C3103 C3203 C3303 C403 C503 C603 C703 C803 C903,1uF,33,1276-1946-1-ND,33
3,C102,SAT,1,,2
4,P101 P103 P105 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 P118 P119 P120 P121 P122 P123 P124 P125 P126 P127 P128 P129 P130 P131 P132 P133 P134 P135,CONN_01X02,33,277-2416-ND,33
5,P102 P104,CONN_02X08,2,WM18864-ND,3
6,R1001 R1101 R1201 R1301 R1401 R1501 R1601 R1701 R1801 R1901 R2001 R201 R2101 R2201 R2301 R2401 R2501 R2601 R2701 R2801 R2901 R3001 R301 R3101 R3201 R3301 R401 R501 R601 R701 R801 R901,SAT,32,311-1.00MHRCT-ND,32
7,R1002 R1003 R1102 R1103 R1202 R1203 R1302 R1303 R1402 R1403 R1502 R1503 R1602 R1603 R1702 R1703 R1802 R1803 R1902 R1903 R2002 R2003 R202 R203 R2102 R2103 R2202 R2203 R2302 R2303 R2402 R2403 R2502 R2503 R2602 R2603 R2702 R2703 R2802 R2803 R2902 R2903 R3002 R3003 R302 R303 R3102 R3103 R3202 R3203 R3302 R3303 R402 R403 R502 R503 R602 R603 R702 R703 R802 R803 R902 R903,150,64,311-150HRCT-ND,64
8,R101 R102,R,2,RHM1.00KYCT-ND,3
9,R103,10,1,RCL10DCT-ND,2
10,U1001 U1101 U1201 U1301 U1401 U1501 U1601 U1701 U1801 U1901 U2001 U201 U2101 U2201 U2301 U2401 U2501 U2601 U2701 U2801 U2901 U3001 U301 U3101 U3201 U3301 U401 U501 U601 U701 U801 U901,AD849X,32,AD8497ARMZ-ND,32
11,U101,OPA380,1,296-16860-1-ND,2
